gorunur_zaman,sembol,yon,yayilim_saat,toplam_notional,oi_degisim,fiyat,isinma
2026-09-05T20:31:31+00:00,1000XECUSDT,long,2.44,3157.6,0.0016,0.00721,evet
2026-09-05T20:31:34+00:00,ACEUSDT,short,3.82,27365.7,0.0162,0.1747,evet
2026-09-05T20:31:47+00:00,APRUSDT,short,0.00,23796.9,0.0012,0.23627,evet
2026-09-05T20:31:48+00:00,BANKUSDT,short,0.76,14892.0,0.0019,0.03541,evet
2026-09-05T20:31:51+00:00,BEATUSDT,short,2.78,36301.0,0.0106,0.1235,evet
2026-09-05T20:32:04+00:00,EVAAUSDT,short,0.88,5123.9,0.0004,0.6579,evet
2026-09-05T20:32:59+00:00,ZECUSDT,short,0.09,536304.2,0.0134,1034.83,evet
2026-09-05T22:17:36+00:00,EDGEUSDT,short,2.66,66357.9,0.0026,0.619,evet
2026-09-06T00:01:25+00:00,AKEUSDT,short,3.37,50859.4,0.0144,0.018803,evet
2026-09-06T00:01:26+00:00,ALLOUSDT,short,2.81,6795.8,0.0014,0.2452,evet
2026-09-06T00:01:44+00:00,BTWUSDT,short,0.43,27466.4,0.0002,0.457539,evet
2026-09-06T00:01:49+00:00,ELSAUSDT,short,0.65,18873.4,0.0075,0.05314,evet
2026-09-06T04:34:36+00:00,ALLOUSDT,short,3.27,17369.6,0.0072,0.24522,evet
2026-09-06T04:35:37+00:00,ESPORTSUSDT,short,0.35,24299.6,0.0016,0.01497,evet
2026-09-06T04:35:53+00:00,HYPEUSDT,short,0.51,560834.9,0.0030,85.418,evet
2026-09-06T04:36:09+00:00,LABUSDT,short,0.79,12404.6,0.0056,0.074,evet
2026-09-06T08:54:59+00:00,ALLOUSDT,short,3.52,22132.8,0.0003,0.2458,evet
2026-09-06T08:56:33+00:00,MUUUSDT,short,3.39,79361.1,0.0147,34.993,evet
